protein.Entry_protein.Accession,protein.Description,c1,c2,c3,r1,r2,r3,rt1,rt2,rt3,t1,t2,t3,Present_NumFiles 
BAG1_HUMAN_Q99933,BAG family molecular chaperone regulator 1 OS=Homo sapiens GN=BAG1 PE=1 SV=4,NaN,NaN,NaN,NaN,0.0477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
D6RGJ3_HUMAN_D6RGJ3,Microtubule-associated protein 1B (Fragment) OS=Homo sapiens GN=MAP1B PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.0953,NaN,NaN,NaN,NaN,NaN,NaN,1
CK095_HUMAN_C9JLR9,Uncharacterized protein C11orf95 OS=Homo sapiens GN=C11orf95 PE=2 SV=1,NaN,NaN,0.0829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
PSD4_HUMAN_Q8NDX1,PH and SEC7 domain-containing protein 4 OS=Homo sapiens GN=PSD4 PE=1 SV=2,NaN,NaN,NaN,NaN,0.0504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
F5H2B9_HUMAN_F5H2B9,Uveal autoantigen with coiled-coil domains and ankyrin repeats OS=Homo sapiens GN=UACA PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3457,1
F8WD03_HUMAN_F8WD03,Hydrocephalus-inducing protein homolog OS=Homo sapiens GN=HYDIN PE=1 SV=1,NaN,NaN,NaN,NaN,0.0121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
A0A0C4DGR2_HUMAN_A0A0C4DGR2,Prostate tumor overexpressed gene 1_ isoform CRA_d OS=Homo sapiens GN=PTOV1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0114,NaN,NaN,NaN,NaN,1
C9JK31_HUMAN_C9JK31,Zinc finger protein 3 (Fragment) OS=Homo sapiens GN=ZNF3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0033,NaN,NaN,1
RT23_HUMAN_Q9Y3D9,28S ribosomal protein S23_ mitochondrial OS=Homo sapiens GN=MRPS23 PE=1 SV=2,NaN,NaN,NaN,0.0843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
PYRD_HUMAN_Q02127,Dihydroorotate dehydrogenase (quinone)_ mitochondrial OS=Homo sapiens GN=DHODH PE=1 SV=3,0.0727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
E9PL88_HUMAN_E9PL88,Protein TSSC4 (Fragment) OS=Homo sapiens GN=TSSC4 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0116,NaN,1
D6RIE3_HUMAN_D6RIE3,Cytochrome c oxidase subunit 7A2_ mitochondrial OS=Homo sapiens GN=COX7A2 PE=1 SV=1,NaN,NaN,NaN,NaN,0.177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
TRI32_HUMAN_Q13049,E3 ubiquitin-protein ligase TRIM32 OS=Homo sapiens GN=TRIM32 PE=1 SV=2,0.1819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
DEND_HUMAN_O94850,Dendrin OS=Homo sapiens GN=DDN PE=1 SV=3,NaN,NaN,NaN,NaN,0.0229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
PP4R4_HUMAN_Q6NUP7,Serine/threonine-protein phosphatase 4 regulatory subunit 4 OS=Homo sapiens GN=PPP4R4 PE=1 SV=1,0.1641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
H3BMX7_HUMAN_H3BMX7,StAR-related lipid transfer protein 9 (Fragment) OS=Homo sapiens GN=STARD9 PE=4 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0374,1
RXRB_HUMAN_P28702,Retinoic acid receptor RXR-beta OS=Homo sapiens GN=RXRB PE=1 SV=2,0.0189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
PDE4B_HUMAN_Q07343,cAMP-specific 3'_5'-cyclic phosphodiesterase 4B OS=Homo sapiens GN=PDE4B PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0565,NaN,1
A8MVZ6_HUMAN_A8MVZ6,BICD1 protein OS=Homo sapiens GN=BICD1 PE=1 SV=3,NaN,NaN,0.1861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
H0Y614_HUMAN_H0Y614,Ubiquitin-fold modifier 1 (Fragment) OS=Homo sapiens GN=UFM1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0615,NaN,1
PTX3_HUMAN_P26022,Pentraxin-related protein PTX3 OS=Homo sapiens GN=PTX3 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0237,NaN,1
NPC2_HUMAN_P61916,Epididymal secretory protein E1 OS=Homo sapiens GN=NPC2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5567,NaN,NaN,NaN,NaN,1
HOME1_HUMAN_Q86YM7,Homer protein homolog 1 OS=Homo sapiens GN=HOMER1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016,1
H0YIM9_HUMAN_H0YIM9,CHURC1-FNTB readthrough (Fragment) OS=Homo sapiens GN=CHURC1-FNTB PE=4 SV=1,NaN,0.0443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
F8W022_HUMAN_F8W022,Tetraspanin (Fragment) OS=Homo sapiens GN=CD63 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1208,NaN,NaN,1
LCAP_HUMAN_Q9UIQ6,Leucyl-cystinyl aminopeptidase OS=Homo sapiens GN=LNPEP PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,0.0995,NaN,NaN,NaN,NaN,NaN,NaN,1
FTCD_HUMAN_O95954,Formimidoyltransferase-cyclodeaminase OS=Homo sapiens GN=FTCD PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,0.0445,NaN,NaN,NaN,NaN,NaN,NaN,1
RFX8_HUMAN_Q6ZV50,DNA-binding protein RFX8 OS=Homo sapiens GN=RFX8 PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0938,NaN,1
RPR1A_HUMAN_Q96P16,Regulation of nuclear pre-mRNA domain-containing protein 1A OS=Homo sapiens GN=RPRD1A PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.0105,NaN,NaN,NaN,NaN,NaN,1
ACY3_HUMAN_Q96HD9,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) OS=Homo sapiens GN=ACY3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2089,NaN,NaN,1
TM260_HUMAN_Q9NX78,Transmembrane protein 260 OS=Homo sapiens GN=TMEM260 PE=2 SV=3,NaN,NaN,NaN,0.0187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
RPC4_HUMAN_P05423,DNA-directed RNA polymerase III subunit RPC4 OS=Homo sapiens GN=POLR3D PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2114,NaN,NaN,NaN,NaN,1
CL004_HUMAN_Q9NQ89,Protein C12orf4 OS=Homo sapiens GN=C12orf4 PE=2 SV=1,NaN,0.2272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
F5GZZ9_HUMAN_F5GZZ9,Scavenger receptor cysteine-rich type 1 protein M130 OS=Homo sapiens GN=CD163 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,1.7281,NaN,NaN,NaN,NaN,NaN,NaN,1
RFIP4_HUMAN_Q86YS3,Rab11 family-interacting protein 4 OS=Homo sapiens GN=RAB11FIP4 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0865,NaN,NaN,1
ADSV_HUMAN_Q9Y6U3,Adseverin OS=Homo sapiens GN=SCIN PE=1 SV=4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1813,NaN,1
TSG10_HUMAN_Q9BZW7,Testis-specific gene 10 protein OS=Homo sapiens GN=TSGA10 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035,NaN,1
FGFP1_HUMAN_Q14512,Fibroblast growth factor-binding protein 1 OS=Homo sapiens GN=FGFBP1 PE=1 SV=1,NaN,NaN,NaN,0.0388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
F8VW24_HUMAN_F8VW24,Interleukin-1 receptor-associated kinase 4 OS=Homo sapiens GN=IRAK4 PE=1 SV=1,NaN,NaN,NaN,0.0083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
R9BP_HUMAN_Q6ZS82,Regulator of G-protein signaling 9-binding protein OS=Homo sapiens GN=RGS9BP PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.0717,NaN,NaN,NaN,NaN,NaN,1
H3BNC9_HUMAN_H3BNC9,Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2541,NaN,1
EVI5L_HUMAN_Q96CN4,EVI5-like protein OS=Homo sapiens GN=EVI5L PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1931,NaN,NaN,1
F2Z3A6_HUMAN_F2Z3A6,Vezatin OS=Homo sapiens GN=VEZT PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,0.037,NaN,NaN,NaN,NaN,NaN,1
A0A0R4J2G7_HUMAN_A0A0R4J2G7,Neurexin-1-beta OS=Homo sapiens GN=NRXN1 PE=1 SV=1,NaN,NaN,NaN,NaN,0.0096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
G3V445_HUMAN_G3V445,Probable tRNA N6-adenosine threonylcarbamoyltransferase (Fragment) OS=Homo sapiens GN=OSGEP PE=1 SV=8,0.0648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
B4DLC8_HUMAN_B4DLC8,Signal transducer and activator of transcription 2 OS=Homo sapiens GN=STAT2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0293,NaN,NaN,NaN,1
VAMP8_HUMAN_Q9BV40,Vesicle-associated membrane protein 8 OS=Homo sapiens GN=VAMP8 PE=1 SV=1,NaN,NaN,NaN,0.0493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
E7EVI1_HUMAN_E7EVI1,Double-stranded RNA-binding protein Staufen homolog 2 OS=Homo sapiens GN=STAU2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0869,NaN,NaN,NaN,NaN,1
I23O1_HUMAN_P14902,Indoleamine 2_3-dioxygenase 1 OS=Homo sapiens GN=IDO1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.0298,NaN,NaN,NaN,NaN,NaN,NaN,1
JAK1_HUMAN_P23458,Tyrosine-protein kinase JAK1 OS=Homo sapiens GN=JAK1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6769,NaN,1
TICRR_HUMAN_Q7Z2Z1,Treslin OS=Homo sapiens GN=TICRR PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0797,NaN,NaN,1
DRG2_HUMAN_P55039,Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens GN=DRG2 PE=1 SV=1,NaN,0.1774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
CBPC3_HUMAN_Q8NEM8,Cytosolic carboxypeptidase 3 OS=Homo sapiens GN=AGBL3 PE=2 SV=2,0.1495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
H0Y9B1_HUMAN_H0Y9B1,Interleukin-6 receptor subunit alpha (Fragment) OS=Homo sapiens GN=IL6R PE=1 SV=1,0.0142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
S27A1_HUMAN_Q6PCB7,Long-chain fatty acid transport protein 1 OS=Homo sapiens GN=SLC27A1 PE=2 SV=1,NaN,0.1063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
BSDC1_HUMAN_Q9NW68,BSD domain-containing protein 1 OS=Homo sapiens GN=BSDC1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0479,1
SH24B_HUMAN_Q5SQS7,SH2 domain-containing protein 4B OS=Homo sapiens GN=SH2D4B PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0682,NaN,1
CCDC9_HUMAN_Q9Y3X0,Coiled-coil domain-containing protein 9 OS=Homo sapiens GN=CCDC9 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.0313,NaN,NaN,NaN,NaN,NaN,NaN,1
GDF5O_HUMAN_Q5U4N7,Protein GDF5OS_ mitochondrial OS=Homo sapiens GN=GDF5OS PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,NaN,NaN,1
UBP30_HUMAN_Q70CQ3,Ubiquitin carboxyl-terminal hydrolase 30 OS=Homo sapiens GN=USP30 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1536,NaN,NaN,NaN,1
H0YHS6_HUMAN_H0YHS6,Tyrosine--tRNA ligase (Fragment) OS=Homo sapiens GN=YARS2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.1014,NaN,NaN,NaN,NaN,NaN,1
M0QZD9_HUMAN_M0QZD9,Bromodomain-containing protein 4 (Fragment) OS=Homo sapiens GN=BRD4 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3175,NaN,NaN,NaN,NaN,1
SPB11_HUMAN_Q96P15,Serpin B11 OS=Homo sapiens GN=SERPINB11 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3019,NaN,NaN,NaN,NaN,1
E9PDG8_HUMAN_E9PDG8,Clathrin coat assembly protein AP180 OS=Homo sapiens GN=SNAP91 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0244,NaN,NaN,NaN,1
ELL2_HUMAN_O00472,RNA polymerase II elongation factor ELL2 OS=Homo sapiens GN=ELL2 PE=1 SV=2,0.3933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
FAK1_HUMAN_Q05397,Focal adhesion kinase 1 OS=Homo sapiens GN=PTK2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2784,NaN,NaN,NaN,NaN,1
TCAIM_HUMAN_Q8N3R3,T-cell activation inhibitor_ mitochondrial OS=Homo sapiens GN=TCAIM PE=2 SV=2,NaN,0.2473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
UN45B_HUMAN_Q8IWX7,Protein unc-45 homolog B OS=Homo sapiens GN=UNC45B PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2188,NaN,NaN,1
ATGA1_HUMAN_Q9BSB4,Autophagy-related protein 101 OS=Homo sapiens GN=ATG101 PE=1 SV=1,NaN,NaN,NaN,0.1207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
A8MUN2_HUMAN_A8MUN2,Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,0.136,NaN,NaN,NaN,NaN,NaN,1
V9GYL6_HUMAN_V9GYL6,Nucleosome assembly protein 1-like 3 OS=Homo sapiens GN=NAP1L3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7482,1
B4DWA1_HUMAN_B4DWA1,Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens GN=BAIAP2 PE=1 SV=1,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
GLI2_HUMAN_P10070,Zinc finger protein GLI2 OS=Homo sapiens GN=GLI2 PE=1 SV=4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4082,NaN,1
MOB3B_HUMAN_Q86TA1,MOB kinase activator 3B OS=Homo sapiens GN=MOB3B PE=1 SV=2,NaN,NaN,NaN,NaN,1.9436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
E7EQU2_HUMAN_E7EQU2,Cytoplasmic dynein 1 intermediate chain 2 (Fragment) OS=Homo sapiens GN=DYNC1I2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1869,NaN,NaN,NaN,NaN,1
MED20_HUMAN_Q9H944,Mediator of RNA polymerase II transcription subunit 20 OS=Homo sapiens GN=MED20 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0191,1
TBX15_HUMAN_Q96SF7,T-box transcription factor TBX15 OS=Homo sapiens GN=TBX15 PE=1 SV=2,NaN,NaN,0.0868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
H0YGJ7_HUMAN_H0YGJ7,Eukaryotic translation initiation factor 3 subunit J (Fragment) OS=Homo sapiens GN=EIF3J PE=1 SV=1,NaN,0.1592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
RFX2_HUMAN_P48378,DNA-binding protein RFX2 OS=Homo sapiens GN=RFX2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0563,1
A0PK22_HUMAN_A0PK22,GDF6 protein OS=Homo sapiens GN=GDF6 PE=1 SV=1,NaN,0.0334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
PLXB3_HUMAN_Q9ULL4,Plexin-B3 OS=Homo sapiens GN=PLXNB3 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2146,NaN,1
G3V1A4_HUMAN_G3V1A4,Cofilin 1 (Non-muscle)_ isoform CRA_a OS=Homo sapiens GN=CFL1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6797,NaN,NaN,NaN,1
A0A024R3M2_HUMAN_A0A024R3M2,GRAM domain-containing protein 1B OS=Homo sapiens GN=GRAMD1B PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0156,NaN,NaN,1
GBA2_HUMAN_Q9HCG7,Non-lysosomal glucosylceramidase OS=Homo sapiens GN=GBA2 PE=1 SV=2,0.0843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
F5GZ08_HUMAN_F5GZ08,Amyloid-like protein 1 OS=Homo sapiens GN=APLP1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0404,1
A0A0B4J293_HUMAN_A0A0B4J293,Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1566,NaN,1
PAPOB_HUMAN_Q9NRJ5,Poly(A) polymerase beta OS=Homo sapiens GN=PAPOLB PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2809,NaN,1
A0A0U1RR22_HUMAN_A0A0U1RR22,Protein kinase C and casein kinase substrate in neurons protein 2 (Fragment) OS=Homo sapiens GN=PACSIN2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4081,NaN,NaN,NaN,NaN,1
I17RE_HUMAN_Q8NFR9,Interleukin-17 receptor E OS=Homo sapiens GN=IL17RE PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.4282,NaN,NaN,NaN,NaN,NaN,1
SPAT7_HUMAN_Q9P0W8,Spermatogenesis-associated protein 7 OS=Homo sapiens GN=SPATA7 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2012,NaN,1
AKIB1_HUMAN_Q9P2G1,Ankyrin repeat and IBR domain-containing protein 1 OS=Homo sapiens GN=ANKIB1 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1135,NaN,1
H0YLQ3_HUMAN_H0YLQ3,Ankyrin repeat domain-containing protein 17 (Fragment) OS=Homo sapiens GN=ANKRD17 PE=1 SV=1,NaN,0.0523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
LPP_HUMAN_Q93052,Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1461,1
AGAP5_HUMAN_A6NIR3,Arf-GAP with GTPase_ ANK repeat and PH domain-containing protein 5 OS=Homo sapiens GN=AGAP5 PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0993,NaN,NaN,1
A0A087X0A8_HUMAN_A0A087X0A8,Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0155,NaN,NaN,1
SMUF1_HUMAN_Q9HCE7,E3 ubiquitin-protein ligase SMURF1 OS=Homo sapiens GN=SMURF1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,0.7978,NaN,NaN,NaN,NaN,NaN,NaN,1
JAK2_HUMAN_O60674,Tyrosine-protein kinase JAK2 OS=Homo sapiens GN=JAK2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7197,NaN,NaN,NaN,NaN,1
MET13_HUMAN_Q8N6R0,Methyltransferase-like protein 13 OS=Homo sapiens GN=METTL13 PE=1 SV=1,NaN,0.0481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
SPOPL_HUMAN_Q6IQ16,Speckle-type POZ protein-like OS=Homo sapiens GN=SPOPL PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0227,NaN,NaN,1
E9PPV6_HUMAN_E9PPV6,Serpin H1 OS=Homo sapiens GN=SERPINH1 PE=1 SV=1,NaN,NaN,0.7701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
CBPC2_HUMAN_Q5U5Z8,Cytosolic carboxypeptidase 2 OS=Homo sapiens GN=AGBL2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,0.029,NaN,NaN,NaN,NaN,NaN,1
CASC3_HUMAN_O15234,Protein CASC3 OS=Homo sapiens GN=CASC3 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1571,NaN,NaN,NaN,1
C9JLG9_HUMAN_C9JLG9,P protein (Fragment) OS=Homo sapiens GN=OCA2 PE=4 SV=1,NaN,NaN,NaN,NaN,NaN,0.0771,NaN,NaN,NaN,NaN,NaN,NaN,1
NUPL2_HUMAN_O15504,Nucleoporin-like protein 2 OS=Homo sapiens GN=NUPL2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.0243,NaN,NaN,NaN,NaN,NaN,1
COMD9_HUMAN_Q9P000,COMM domain-containing protein 9 OS=Homo sapiens GN=COMMD9 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,0.0238,NaN,NaN,NaN,NaN,NaN,NaN,1
J3KPS0_HUMAN_J3KPS0,DnaJ (Hsp40) homolog_ subfamily B_ member 12_ isoform CRA_c OS=Homo sapiens GN=DNAJB12 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.1751,NaN,NaN,NaN,NaN,NaN,NaN,1
STX6_HUMAN_O43752,Syntaxin-6 OS=Homo sapiens GN=STX6 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0235,NaN,NaN,NaN,NaN,1
F8VX32_HUMAN_F8VX32,Dystrophin OS=Homo sapiens GN=DMD PE=1 SV=1,NaN,NaN,0.9547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
ZN140_HUMAN_P52738,Zinc finger protein 140 OS=Homo sapiens GN=ZNF140 PE=2 SV=2,0.3569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
RLF_HUMAN_Q13129,Zinc finger protein Rlf OS=Homo sapiens GN=RLF PE=1 SV=2,NaN,NaN,NaN,1.6797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
SPEB_HUMAN_Q9BSE5,Agmatinase_ mitochondrial OS=Homo sapiens GN=AGMAT PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4389,1
A6NMS2_HUMAN_A6NMS2,Ribose-phosphate pyrophosphokinase 2 (Fragment) OS=Homo sapiens GN=PRPS2 PE=1 SV=2,NaN,NaN,0.9444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
KPSH2_HUMAN_Q96QS6,Serine/threonine-protein kinase H2 OS=Homo sapiens GN=PSKH2 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,0.0059,NaN,NaN,NaN,NaN,NaN,1
K7ERG0_HUMAN_K7ERG0,NACHT_ LRR and PYD domains-containing protein 7 OS=Homo sapiens GN=NLRP7 PE=1 SV=1,0.0688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
HNRC1_HUMAN_O60812,Heterogeneous nuclear ribonucleoprotein C-like 1 OS=Homo sapiens GN=HNRNPCL1 PE=1 SV=1,NaN,NaN,0.0257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
SCAM2_HUMAN_O15127,Secretory carrier-associated membrane protein 2 OS=Homo sapiens GN=SCAMP2 PE=1 SV=2,0.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
A0A087X0K1_HUMAN_A0A087X0K1,Calcium-binding protein 39 OS=Homo sapiens GN=CAB39 PE=1 SV=1,NaN,NaN,NaN,0.0292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
DPOE3_HUMAN_Q9NRF9,DNA polymerase epsilon subunit 3 OS=Homo sapiens GN=POLE3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0878,NaN,NaN,NaN,1
EPN2_HUMAN_O95208,Epsin-2 OS=Homo sapiens GN=EPN2 PE=1 SV=3,NaN,NaN,NaN,0.0593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
CMGA_HUMAN_P10645,Chromogranin-A OS=Homo sapiens GN=CHGA PE=1 SV=7,NaN,NaN,NaN,0.0464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
E7EU13_HUMAN_E7EU13,Arf-GAP with Rho-GAP domain_ ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5553,NaN,NaN,NaN,NaN,1
